Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket,restaurant_to_coffee_ratio,coffee_shop_density,potential_demand_index,mosque_index,affordability_index,success_score
5090,Monroe,0.2456575682382134,0.1436477998732123,0.4388347867303618,0.1472607593733333,0.05,0.0,0.0,43.5005485,-83.75334365,0.0,0.006024096385542169,17.0,Middle,Low,50000.00000000001,0.0,0.2888165167885437,0.0,3.273383899328047e-07,0.17310780912264523
2280,Waterford Twp,0.3870967741935486,0.21757583659669366,0.19702004080616353,0.14770142900621008,0.0,0.0,0.0,46.162468,-86.92034901,0.0,0.0007857517024620222,3.0,Upper-Middle,Low,0.0,0.0,0.27977680819246964,0.0,1.104327922065708e-06,0.17006228566907114
1015,Brownstown Twp,0.4168734491315137,0.2855016882550502,0.21672318305767843,0.10910923567827187,0.2,0.0,0.0,42.1184995,-83.47200231,0.0,0.02881089575694081,157.0,Upper-Middle,Low,200000.00000000003,0.0,0.2598665297444991,0.0,1.3173503954520268e-06,0.169288530269745
5050,Frenchtown Twp,0.32754342431761796,0.16861419213286638,0.404374342007989,0.03499471282346568,0.8,0.9,0.42105263157894735,42.3941635,-83.00393448,0.0,0.40675746464117346,163.0,Upper-Middle,Low,0.8888879012356653,8.572478620833831e-05,3.7631535616929024e-07,0.02389638440398175,4.169744655932437e-07,0.16817414001248188
2060,Commerce Twp,0.3722084367245658,0.38910794491477796,0.11665162629992333,0.10040982501643919,0.9,0.8500000000000001,0.631578947368421,42.365763,-83.04429118,0.0,0.4151388161341017,163.0,High,Low,1.0588222837384895,2.821740915752322e-05,5.943003137562611e-07,0.012492741783328279,3.335612384022542e-06,0.16601663891175322
2055,Clawson,0.3424317617866005,0.265480916648308,0.1217815321484728,0.38461414129342547,1.0,0.7000000000000001,0.21052631578947367,42.2959965,-83.53230113,0.0,0.4106862231534835,163.0,Upper-Middle,Moderate,1.4285693877580172,6.066670504667463e-06,1.592192438754567e-06,0.001087152995730468,2.179958914999758e-06,0.1619293067445839
5070,Luna Pier,0.5409429280397023,0.1090194632652786,0.6557864434209453,0.058485548442187604,0.8,0.9500000000000001,0.42105263157894735,42.392903,-83.00180576,0.0,0.37663698271346263,163.0,Middle,Low,0.8421043767322349,5.414350395111505e-05,3.1449152136044944e-07,0.014298518691824002,1.6624207181609574e-07,0.1607798005354662
6055,Cottrellville Twp,0.42928039702233256,0.25295500834011486,0.11823622184481954,0.009299022172194974,1.0,0.8500000000000001,0.0,42.602473,-83.91408166,0.0,0.4036144578313254,93.0,Upper-Middle,Low,1.1764692041538773,0.00030465877186877877,3.667903961759582e-07,0.0,2.1393855876629584e-06,0.1605122223722285
2050,Clarkston,0.7468982630272955,0.30095000876723665,0.045117469963075994,0.11888755221265297,1.0,0.30000000000000004,0.05263157894736842,42.3046485,-83.54233534,0.0,0.4009952854897853,163.0,Upper-Middle,Low,3.333322222259259,8.41123877268961e-06,2.716665271111901e-06,0.0008792593888950222,6.670217518757347e-06,0.16041424272608057
5060,LaSalle Twp,0.4267990074441689,0.2465751576978586,0.193521280882262,0.010149563181113746,0.8500000000000001,0.8,0.21052631578947367,42.3951235,-82.99165287,0.0,0.30330015715034053,163.0,Upper-Middle,Low,1.0624986718766603,0.0002627112032195708,1.8973664937940927e-07,0.04119333041918624,1.2741435072681564e-06,0.1578270538408488
1060,Grosse Ile Twp,0.5955334987593054,0.4376964198202492,0.09170316320348122,0.08682354948986934,0.9500000000000001,1.0,0.9473684210526315,42.3958685,-83.02481607,0.0,0.3300157150340492,57.0,High,Low,0.9499990500009502,3.839159952937348e-05,2.3689250620827623e-07,0.02167140255638812,4.772917657501003e-06,0.15600095266872893
5075,Maybee,0.21836228287841186,0.11577697948466632,0.3142027807981866,0.023697142080188006,0.8,0.75,0.3684210526315789,42.399525,-83.00029961,0.0,0.3061812467260346,163.0,Middle,Low,1.0666652444463407,0.00010549350204504158,2.8022578559078295e-07,0.03087740498304807,3.684773594721001e-07,0.1551800029055334
5095,Monroe Twp,0.4888337468982632,0.18091529950229074,0.33668323186005095,0.0575093889889424,0.0,0.0,0.0,43.7261865,-83.26967736,0.0,0.04164484023048717,63.0,Upper-Middle,Low,0.0,0.0,0.1868243883264953,0.0,5.373441414312849e-07,0.15295293058502518
2220,Auburn Hills,0.22828784119106715,0.22994888026652405,0.26482281295650945,0.1095766529332982,0.0,0.0,0.0,43.6413475,-85.66136529,0.0,0.0,123.0,Upper-Middle,Low,0.0,0.0,0.20646216542734153,0.0,8.683089247124739e-07,0.15161571501862034
1025,Dearborn,0.1389578163771713,0.16909526614183146,0.5855549711728582,0.32884637833242664,0.75,0.6000000000000001,1.0,42.4118245,-83.09530753,0.0,0.31351492928234675,157.0,Upper-Middle,Moderate,1.2499979166701387,6.081848698754811e-06,1.4687003751075234e-06,0.006039712554829466,2.887772893906908e-07,0.14883896990448264
6035,China Twp,0.4267990074441689,0.3143526407366277,0.1018734823170976,0.004872634431921123,0.9,0.7000000000000001,0.05263157894736842,42.9651945,-82.45669455,0.0,0.27998952331063387,147.0,Upper-Middle,Low,1.2857124489822156,0.00047876658906760957,2.1825133933705524e-07,0.02144885448946266,3.085685773186696e-06,0.1483858798845166
6040,Clay Twp,0.6923076923076924,0.2550861212396423,0.18400605926153715,0.014888853276436593,0.9500000000000001,1.0,0.0,43.602456,-83.90905598,0.0,0.3166579360921949,17.0,Upper-Middle,Low,0.9499990500009502,0.00022386609669340263,7.618584271912367e-08,0.0,1.3862844298656902e-06,0.14747660010750654
