Tract Code (id),City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques,lat,lon,transit_stops,pedestrian_score,county_id,income_bracket,density_bracket
2045,Brandon Twp,0.39702233250620356,0.31107953906815516,0.11806740829787503,0.02735829786852166,0.8500000000000001,0.65,0.05263157894736842,42.798431,-83.25950671,0.0,0.1618648507071765,163.0,Upper-Middle,Low
2050,Clarkston,0.7468982630272955,0.30095000876723665,0.045117469963075994,0.11888755221265297,1.0,0.30000000000000004,0.05263157894736842,42.3046485,-83.54233534,0.0,0.4009952854897852,163.0,Upper-Middle,Low
2055,Clawson,0.3424317617866005,0.265480916648308,0.1217815321484728,0.38461414129342547,1.0,0.7000000000000001,0.21052631578947367,42.2959965,-83.53230113,0.0,0.4106862231534834,163.0,Upper-Middle,Moderate
2060,Commerce Twp,0.3722084367245658,0.38910794491477796,0.11665162629992333,0.10040982501643919,0.9,0.8500000000000001,0.631578947368421,42.365763,-83.04429118,0.0,0.4151388161341016,163.0,High,Low
2065,Farmington,0.3126550868486353,0.2991336171819854,0.08911894090107622,0.32300680277011634,1.0,0.8500000000000001,0.10526315789473684,42.3297585,-83.04346308,0.0,0.9999999999999999,163.0,Upper-Middle,Moderate
2072,Farmington Hills,0.3573200992555833,0.33396877065358627,0.14450377273093826,0.18603394974574372,0.05,0.0,0.0,43.3847925,-84.53809526,0.0,0.005238344683080146,57.0,High,Low
2075,Ferndale,0.2133995037220845,0.28841960444026815,0.1842557990420916,0.37013214077979245,0.1,0.0,0.0,42.170528,-83.98208096,0.0,0.012048192771084336,161.0,Upper-Middle,Moderate
2080,Franklin,0.5607940446650125,0.6698573413242574,0.04521575716879162,0.07086003243044417,1.0,0.8500000000000001,0.3684210526315789,42.353727,-83.0320485,0.0,0.8483499214248297,163.0,High,Low
2085,Groveland Twp,0.5781637717121589,0.3411668967129607,0.08564305975859653,0.00950330413718425,1.0,0.75,0.3157894736842105,42.3527105,-83.03564843,0.0,0.8441592456783655,163.0,High,Low
2090,Hazel Park,0.23573200992555843,0.15869147869561506,0.3244926557197093,0.39806978800401294,0.0,0.0,0.0,46.0908725,-88.75578937,0.0,0.0,71.0,Upper-Middle,Moderate
2105,Holly Twp,0.3722084367245658,0.3017817722406809,0.2798379871039469,0.011163012394457682,0.45,0.1,0.0,44.9778105,-85.71448764,0.0,0.13069669984284962,89.0,Upper-Middle,Low
2110,Huntington Woods,0.4168734491315137,0.7222719282075722,0.030108363442253143,0.3191700314851636,0.15000000000000002,0.0,0.0,44.171861,-85.93919293,0.0,0.05343111576741749,101.0,High,Moderate
2115,Independence Twp,0.3722084367245658,0.39157176320368314,0.11379711479543574,0.07356254927673352,0.0,0.0,0.0,44.595152,-85.07330861,0.0,0.0,79.0,High,Low
2125,Lake Angelus,0.9528535980148886,0.830801325426335,0.19353664876666088,0.009898373226669765,0.25,0.05,0.0,43.723477,-85.81347917,0.0,0.03535882661079099,123.0,High,Low
2140,Leonard,0.3052109181141439,0.2862525233905377,0.07861307123568899,0.024458833058528043,0.0,0.0,0.0,43.689122,-85.68157824,0.0,0.0023572551073860657,123.0,Upper-Middle,Low
2150,Madison Heights,0.3424317617866005,0.17599215894325576,0.26781915032403064,0.29933178852768083,0.0,0.0,0.0,43.6839885,-86.27471088,0.0,0.0007857517024620219,127.0,Upper-Middle,Moderate
2155,Milford,0.37468982630272973,0.33692715100778264,0.20150033751663954,0.1899174181542148,0.0,0.0,0.0,43.7443885,-85.56545223,0.0,0.0031430068098480873,123.0,High,Low
2172,Novi Twp,0.4838709677419356,0.5925438024629192,0.021333490450171806,0.16116423492195486,0.0,0.0,0.0,43.656986,-85.70978905,0.0,0.0007857517024620219,123.0,High,Low
2175,Oakland Twp,0.40198511166253115,0.6392574375390592,0.04849722389636953,0.03845808423413815,0.1,0.05,0.0,43.6879595,-85.76636484,0.0,0.018072289156626505,123.0,High,Low
2180,Oak Park,0.2704714640198511,0.17219751909683978,0.3386187924774056,0.4308500300281713,0.15000000000000002,0.05,0.0,43.7063135,-85.8113649,0.0,0.021739130434782605,123.0,Upper-Middle,Moderate
2190,Orion Twp,0.3722084367245658,0.3951416021113304,0.08948545549400541,0.07461460540177049,0.1,0.05,0.0,43.6724385,-85.77676792,0.0,0.01650078575170246,123.0,High,Low
2195,Ortonville,0.3846153846153847,0.3330875509736129,0.29632087398407936,0.10069607723922311,0.1,0.05,0.0,43.6585275,-85.80977319,0.0,0.01964379256155055,123.0,High,Low
2205,Oxford Twp,0.29776674937965264,0.38664862264464817,0.12751922420229375,0.03935148588128961,0.0,0.0,0.0,43.6739665,-85.64432142,0.0,0.0031430068098480873,123.0,High,Low
2220,Auburn Hills,0.22828784119106715,0.22994888026652405,0.26482281295650945,0.1095766529332982,0.0,0.0,0.0,43.6413475,-85.66136529,0.0,0.0,123.0,Upper-Middle,Low
2230,Rochester,0.3076923076923077,0.34771310004990585,0.0986023001184498,0.2521703917668782,0.0,0.0,0.0,43.634831,-85.61158868,0.0,0.0,123.0,High,Moderate
2235,Rose Twp,0.543424317617866,0.34569438761976273,0.15162095884101578,0.010036333871057103,0.0,0.0,0.0,43.6177715,-85.64832106,0.0,0.0007857517024620219,123.0,High,Low
2245,Royal Oak Twp,0.1389578163771713,0.07195878049986738,0.6717216410901559,0.3016747373780203,0.0,0.0,0.0,43.6185905,-85.59214865,0.0,0.0,123.0,Middle,Moderate
2260,Springfield Twp,0.3846153846153847,0.3599647512128011,0.1894574609571668,0.02750604173628938,0.0,0.0,0.0,43.6886685,-85.67531416,0.0,0.0023572551073860657,123.0,High,Low
2275,Walled Lake,0.3399503722084368,0.17873023437745877,0.26453520941860986,0.22675626469784013,0.1,0.0,0.0,46.193998,-86.96789569,0.0,0.03719224724986904,3.0,Upper-Middle,Low
2280,Waterford Twp,0.3870967741935486,0.21757583659669366,0.19702004080616353,0.14770142900621008,0.0,0.0,0.0,46.162468,-86.92034901,0.0,0.0007857517024620219,3.0,Upper-Middle,Low
2285,West Bloomfield Twp,0.4838709677419356,0.44771354965178334,0.13981084645300906,0.15558227712782427,0.05,0.0,0.0,46.33589,-86.46947235,0.0,0.00680984808800419,3.0,High,Low
2290,White Lake Twp,0.43672456575682383,0.29458814220008184,0.23425881788269567,0.060453670463781126,0.1,0.05,0.0,46.352759,-86.58859108,0.0,0.020429544264012573,3.0,Upper-Middle,Low
