Tract Code (id),Center of Tract,City,Median Age,Median Household Income,Percent People in Poverty,Population Density (Persons/Acre),# of Nearby Moques,# of Nearby Restaurants,# of Nearby Coffee Shops,# of Nearby Mosques
2245,"43.618590499999996, -85.59214864966044",Royal Oak Twp,32.6,43587,0.277848912,6.306451613,,,,
2250,"46.214135, -86.8717584496352",Southfield,42.1,65848,0.112329392,4.525297619,,,,
2255,"43.577262999999995, -85.58242908241218",South Lyon,41.8,83822,0.048133345,4.927083333,,,,
2260,"43.6886685, -85.67531416420219",Springfield Twp,42.5,107645,0.081370597,0.628461538,,,,
2265,"43.7323185, -85.7510812960476",Sylvan Lake,52.9,106806,0.036483254,3.084870849,,,,
2270,"46.1985765, -86.90413092716535",Troy,42.2,119299,0.05296508,4.060790698,,,,
2275,"46.193998, -86.96789569043153",Walled Lake,40.7,67335,0.111957877,4.754901961,,,,
2280,"46.162468000000004, -86.92034900529839",Waterford Twp,42.6,75975,0.084451653,3.117688889,,,,
2285,"46.335890000000006, -86.46947235294118",West Bloomfield Twp,46.5,127162,0.061144166,3.2809,,,,
2290,"46.352759000000006, -86.58859107514735",White Lake Twp,44.6,93104,0.099623031,1.310801688,,,,
2295,"46.193154500000006, -86.9725207210364",Wixom,36.3,68319,0.086678779,2.859098497,,,,
2300,"46.1714855, -86.97059566588786",Wolverine Lake,43.9,88423,0.069034853,4.18317757,,,,
3005,"42.66696499999999, -82.76867108558926",Armada,41.0,110345,0.059767571,3.966173362,,20.0,8.0,0.0
3010,"42.84236299999999, -82.94583920248576",Armada Twp,45.0,110308,0.077348066,0.150174672,,5.0,0.0,0.0
3015,"42.7783355, -83.02650116756458",Bruce Twp,44.0,117779,0.032139094,0.33580786,,20.0,5.0,0.0
3020,"42.82709799999999, -82.95492362102536",Center Line,39.9,52857,0.126301768,7.542857143,,6.0,1.0,0.0
3025,"42.816604999999996, -82.94736705317366",Chesterfield Twp,41.8,91378,0.081731302,2.55511236,,6.0,1.0,0.0
3030,"42.8129675, -82.90331145935596",Clinton Twp,41.4,71565,0.102570301,5.551666667,,12.0,2.0,0.0
3035,"42.811041499999995, -82.93160621796926",Eastpointe,36.4,58196,0.181555516,10.36676829,,6.0,0.0,0.0
